school_name,student_name,mobile_no,address,photo_url,rq_code
Green Valley School 6,Student_65,9228272911,"Street 6, City 16","""C:\Users\crp13\Desktop\student images.png""",213651
Green Valley School 4,Student_66,6489842872,"Street 35, City 10","""C:\Users\crp13\Desktop\student images.png""",400950
Green Valley School 10,Student_67,8428659547,"Street 42, City 6","""C:\Users\crp13\Desktop\student images.png""",697407
Green Valley School 10,Student_68,6690036514,"Street 3, City 5","""C:\Users\crp13\Desktop\student images.png""",451262
Green Valley School 6,Student_69,9351149243,"Street 22, City 3","""C:\Users\crp13\Desktop\student images.png""",487938
Green Valley School 7,Student_70,7066259855,"Street 15, City 9","""C:\Users\crp13\Desktop\student images.png""",434881
Green Valley School 9,Student_71,9498100184,"Street 7, City 1","""C:\Users\crp13\Desktop\student images.png""",130485
Green Valley School 1,Student_72,9526486658,"Street 22, City 16","""C:\Users\crp13\Desktop\student images.png""",419027
Green Valley School 2,Student_73,6262271877,"Street 7, City 9","""C:\Users\crp13\Desktop\student images.png""",987841
Green Valley School 2,Student_74,9427311261,"Street 38, City 16","""C:\Users\crp13\Desktop\student images.png""",443847
Green Valley School 4,Student_75,7749001830,"Street 7, City 5","""C:\Users\crp13\Desktop\student images.png""",269011
Green Valley School 1,Student_76,8405769809,"Street 13, City 7","""C:\Users\crp13\Desktop\student images.png""",768471
Green Valley School 9,Student_77,7794268736,"Street 22, City 12","""C:\Users\crp13\Desktop\student images.png""",922719
Green Valley School 2,Student_78,8102037190,"Street 29, City 8","""C:\Users\crp13\Desktop\student images.png""",268054
Green Valley School 6,Student_79,9998139917,"Street 24, City 15","""C:\Users\crp13\Desktop\student images.png""",933052
Green Valley School 3,Student_80,7101110347,"Street 12, City 12","""C:\Users\crp13\Desktop\student images.png""",172396
Green Valley School 1,Student_81,7677792896,"Street 41, City 16","""C:\Users\crp13\Desktop\student images.png""",942531
Green Valley School 1,Student_82,9184658665,"Street 50, City 4","""C:\Users\crp13\Desktop\student images.png""",298655
Green Valley School 7,Student_83,7470336574,"Street 29, City 18","""C:\Users\crp13\Desktop\student images.png""",979075
Green Valley School 1,Student_84,7920760212,"Street 37, City 4","""C:\Users\crp13\Desktop\student images.png""",919982
Green Valley School 7,Student_85,8150464350,"Street 32, City 5","""C:\Users\crp13\Desktop\student images.png""",597931
Green Valley School 1,Student_86,8392329021,"Street 20, City 13","""C:\Users\crp13\Desktop\student images.png""",933612
Green Valley School 8,Student_87,6588231816,"Street 7, City 3","""C:\Users\crp13\Desktop\student images.png""",274278
Green Valley School 5,Student_88,7078366865,"Street 36, City 8","""C:\Users\crp13\Desktop\student images.png""",106633
Green Valley School 5,Student_89,8686588853,"Street 27, City 18","""C:\Users\crp13\Desktop\student images.png""",178892
Green Valley School 4,Student_90,8801997865,"Street 3, City 9","""C:\Users\crp13\Desktop\student images.png""",683399
Green Valley School 3,Student_91,6519877025,"Street 37, City 15","""C:\Users\crp13\Desktop\student images.png""",654679
Green Valley School 8,Student_92,7009600919,"Street 4, City 14","""C:\Users\crp13\Desktop\student images.png""",558867
Green Valley School 3,Student_93,6707027533,"Street 44, City 16","""C:\Users\crp13\Desktop\student images.png""",511260
Green Valley School 8,Student_94,9602666621,"Street 43, City 10","""C:\Users\crp13\Desktop\student images.png""",890783
Green Valley School 6,Student_95,7313684809,"Street 35, City 7","""C:\Users\crp13\Desktop\student images.png""",921263
Green Valley School 2,Student_96,6017176587,"Street 16, City 4","""C:\Users\crp13\Desktop\student images.png""",254871
Green Valley School 4,Student_97,8447941459,"Street 37, City 13","""C:\Users\crp13\Desktop\student images.png""",319655
Green Valley School 2,Student_98,6809285020,"Street 24, City 5","""C:\Users\crp13\Desktop\student images.png""",892904
Green Valley School 4,Student_99,9475412304,"Street 44, City 12","""C:\Users\crp13\Desktop\student images.png""",582206
Green Valley School 3,Student_100,7394543080,"Street 30, City 6","""C:\Users\crp13\Desktop\student images.png""",959513
